POSTCODE,ConfirmedCaseCategory,ConfirmedCaseCount
86432,11-100,31
86433,0,0
86434,0,0
86434 Tribal,Data Suppressed,Data Suppressed
86435,0,0
86435 Tribal,Data Suppressed,Data Suppressed
86436,6-10,6-10
86437,1-5,1-5
86438,1-5,1-5
86440,101-250,173
86441,6-10,6-10
86442,Greater Than 250,577
86443,0,0
86444,0,0
86445,1-5,1-5
86502,11-100,73
86502 Tribal,Data Suppressed,Data Suppressed
86503,0,0
86503 Tribal,Data Suppressed,Data Suppressed
86505,11-100,29
86505 Tribal,Data Suppressed,Data Suppressed
86507,0,0
86507 Tribal,Data Suppressed,Data Suppressed
86510 Tribal,Data Suppressed,Data Suppressed
86511,1-5,1-5
86511 Tribal,Data Suppressed,Data Suppressed
86514,0,0
86514 Tribal,Data Suppressed,Data Suppressed
86515,0,0
86515 Tribal,Data Suppressed,Data Suppressed
86538 Tribal,Data Suppressed,Data Suppressed
86556 Tribal,Data Suppressed,Data Suppressed
